KEY,en,notes,sp,fr,de,it,pt-br,zh
TEAMNAME_ADJECTIVE_HUNTER10,未驯服的,,Indómitos,indomptables,Ungezähmten,Indomiti|Indomite,Indomáveis,未驯服的
TEAMNAME_ADJECTIVE_HUNTER11,户外的,,Intrépidos,du plein air,format2|Outdoor,Esterni|Esterne,Rueiros,户外的
TEAMNAME_ADJECTIVE_MEDIC0,关怀的,,Bondadosos,attentionnés|attentionnées,Gütigen,Premurosi|Premurose,Carinhosos,关怀的
TEAMNAME_ADJECTIVE_MEDIC1,充满爱意的,,Afectuosos,aimants|aimantes,Lieben,Affettuosi|Affettuose,Amorosos,充满爱意的
TEAMNAME_ADJECTIVE_MEDIC2,虔诚的,,Respetuosos,révérencieux|révérencieuses,Ehrfürchtigen,Riverenti,Reverentes,虔诚的
TEAMNAME_ADJECTIVE_MEDIC3,神圣的,,Sacros,saints|saintes,Heiligen,Sacri|Sacre,Sagrados,神圣的
TEAMNAME_ADJECTIVE_MEDIC4,虔敬的,,Piadosos,pieux|pieuses,Frommen,Pii|Pie,Piedosos,虔敬的
TEAMNAME_ADJECTIVE_MEDIC5,虔诚的,,Devotos,dévots|dévotes,Gläubigen,Devoti|Devote,Devotos,虔诚的
TEAMNAME_ADJECTIVE_MEDIC6,神圣的,,Religiosos,vertueux|vertueuses,Gottgleichen,Celestiali,Divinos,神圣的
TEAMNAME_ADJECTIVE_MEDIC7,正义的,,Honrados,intègres,Gerechten,Giusti|Giuste,Justos,正义的
TEAMNAME_ADJECTIVE_MEDIC8,神圣的,,Divinos,divins|divines,Göttlichen,Divini,Divinos,神圣的
TEAMNAME_ADJECTIVE_MEDIC9,忠诚的,,Leales,croyants|croyantes,Getreuen,Credenti,Fiéis,忠诚的
TEAMNAME_ADJECTIVE_MEDIC10,受膏的,,Ungidos,consacrés|consacrées,Gesalbten,Consacrati|Consacrate,Abençoados,受膏的
TEAMNAME_ADJECTIVE_MAGE0,魔法的,,Mágicos,magiques,Magischen,Magici|Magiche,Mágicos,魔法的
TEAMNAME_ADJECTIVE_MAGE1,元素,,Elementales,élémentaires,Elementaren,Elementali,Elementais,元素
TEAMNAME_ADJECTIVE_MAGE2,调和的,,en Armonía,harmonisés|harmonisées,Eingestimmten,Armonizzati|Armonizzate,Sintonizados,调和的
TEAMNAME_ADJECTIVE_MAGE3,施法者,,Hechiceros,prestidigitateurs|prestidigitatrices,Zauberhaften,Incantatori|Incantatrici,Lançadores de Feitiços,施法者
TEAMNAME_ADJECTIVE_MAGE4,大脑发达的,,Inteligentes,intellos,Hyperintelligenten,Cervelloni|Cervellone,Super Inteligentes,大脑发达的
TEAMNAME_ADJECTIVE_MAGE5,聪明的,,Listos,futés|futées,Schlauen,Svegli|Sveglie,Espertos,聪明的
TEAMNAME_ADJECTIVE_MAGE6,被附魔的,,Encantados,enchantés|enchantées,Verzauberten,Incantati|Incantate,Encantados,被附魔的
TEAMNAME_ADJECTIVE_MAGE7,被迷惑的,,Hechizados,ensorcelés|ensorcelées,Gebannten,Stregati|Stregate,Enfeitiçados,被迷惑的
TEAMNAME_ADJECTIVE_MAGE8,充满法力的,,de Maná,pourvus de mana|pourvues de mana,Magieerfüllten,del Mana,Cheios de Mana,充满法力的
TEAMNAME_ADJECTIVE_MAGE9,学术的,,Académicos,académiciens|académiciennes,Akademischen,Accademici|Accademiche,Acadêmicos,学术的
TEAMNAME_ADJECTIVE_MAGE10,有智慧的,,Intelectuales,intellectuels|intellectuelles,Intellektuellen,Colti|Colte,Intelectuais,有智慧的
TEAMNAME_ADJECTIVE_MAGE11,魔法,,Embrujados,magiques,Bezauberten,Fatati|Fatate,Mágicos,魔法
TEAMNAME_ADJECTIVE_TANK0,厚实的,,Gruesos,à l'ossature lourde,Dicken,Massicci|Massiccie,Grossos,厚实的
TEAMNAME_ADJECTIVE_TANK1,稳定的,,Firmes,solides,Standhaften,Stabili,Firmes,稳定的
TEAMNAME_ADJECTIVE_TANK2,坚韧,,Robustos,robustes,Abgehärteten,Robusti|Robuste,Durões,坚韧
TEAMNAME_ADJECTIVE_TANK3,胖的,,Gordos,en surpoids,Fetten,Grassottelli|Grassottelle,Gordos,胖的
TEAMNAME_ADJECTIVE_TANK4,坚固的,,Sólidos,solides,Soliden,Solidi,Sólidos,坚固的
TEAMNAME_ADJECTIVE_TANK5,有韧性的,,Resistentes,résilients|résilientes,Widerstandsfähigen,Tenaci,Resilientes,有韧性的
TEAMNAME_ADJECTIVE_TANK6,结实的,,Corpulentos,corpulents|corpulentes,Stabilen,Tarchiati|Tarchiate,Corpulentos,结实的
TEAMNAME_ADJECTIVE_TANK7,宽广的,,Anchos,épais|épaisses,Breiten,Larghi|Larghe,Largos,宽广的
TEAMNAME_ADJECTIVE_TANK8,健硕的,,Fornidos,costauds|costaudes,Stattlichen,Grossi|Grosse,Robustos,健硕的
TEAMNAME_ADJECTIVE_TANK9,圆润,,Rellenitos,potelés|potelées,Molligen,Paffuti|Paffute,Gorduchos,圆润
TEAMNAME_ADJECTIVE_TANK10,坚硬,,Pétreos,rocailleux|rocailleuses,Felsenfesten,Rocciosi|Rocciose,Pedregosos,坚硬
TEAMNAME_ADJECTIVE_TANK11,密集,,Densos,énormes,Unterbelichteten,Densi|Dense,Densos,密集
TEAMNAME_ADJECTIVE_TANK12,圆形,,Orondos,rondelets|rondelettes,Runden,Rotondi|Rotonde,Redondos,圆形
TEAMNAME_ADJECTIVE_TANK13,特大号,,XXL,XXL,format2|XXL,XXL,GGG,特大号
TEAMNAME_ADJECTIVE_TANK14,懒惰,,Vagos,paresseux|paresseuses,Faulen,Pigri|Pigre,Preguiçosos,懒惰
TEAMNAME_ADJECTIVE_TANK15,减速,,Lentos,lents|lentes,Langsamen,Lenti|Lente,Lentos,减速
TEAMNAME_ADJECTIVE_TANK16,胖乎乎,,Rollizos,joufflus|joufflues,Klobigen,Cicciotti|Cicciotte,Rotundos,胖乎乎
TEAMNAME_ADJECTIVE_THIEF0,偷偷摸摸,,Sigilosos,sournois|sournoises,Schleichenden,Furtivi|Furtive,Furtivos,偷偷摸摸
TEAMNAME_ADJECTIVE_THIEF1,狡猾,,Taimados,fourbes,Listigen,Scaltri|Scaltre,Espertos,狡猾
TEAMNAME_ADJECTIVE_THIEF2,隐藏,,Ocultos,cachés|cachées,Versteckten,Nascosti|Nascoste,Ocultos,隐藏
TEAMNAME_ADJECTIVE_THIEF3,说谎,,Mentirosos,menteurs|menteuses,Lügenden,Bugiardi|Bugiarde,Mentirosos,说谎
TEAMNAME_ADJECTIVE_THIEF4,贪婪,,Avariciosos,cupides,Gierigen,Avidi|Avide,Ambiciosos,贪婪
TEAMNAME_ADJECTIVE_THIEF5,抠门,,Agarrados,avares,Geizigen,Tirchi|Tirchie,Sovinas,抠门
TEAMNAME_ADJECTIVE_THIEF6,快速,,Rápidos,rapides,Schnellen,Svelti|Svelte,Velozes,快速
TEAMNAME_ADJECTIVE_THIEF7,淘气,,Traviesos,vilains|vilaines,Frechen,Birbanti,Safadinhos,淘气
TEAMNAME_ADJECTIVE_THIEF8,偷窃,,Ladrones,voleurs|voleuses,Diebischen,Ladri|Ladre,Gatunos,偷窃
TEAMNAME_ADJECTIVE_THIEF9,残忍,,Furtivos,du larcin,Gnädigen,Mercenari|Mercenarie,Graciosos,残忍
TEAMNAME_ADJECTIVE_THIEF10,刺杀,,Arteros,au poignard,Hinterlistigen,Pugnalatori|Pugnalatrici,Enganadores,刺杀
TEAMNAME_ADJECTIVE_THIEF11,黑暗,,Oscuros,sombres,Dunklen,Oscuri|Oscure,Sombrios,黑暗
TEAMNAME_ADJECTIVE_THIEF12,安静的,,Silenciosos,silencieux|silencieuses,Stillen,Silenziosi|Silenziose,Quietos,安静的
TEAMNAME_ADJECTIVE_THIEF13,秘密的,,Secretos,discrets|discrètes,Geheimen,Segreti|Segrete,Secretos,秘密的
TEAMNAME_ADJECTIVE_MONK0,平衡的,,Equilibrados,équilibrés|équilibrées,Ausgeglichenen,Equilibrati|Equilibrate,Equilibrados,平衡的
TEAMNAME_ADJECTIVE_MONK1,禅意的,,Zen,zen,format2|Zen,Zen,Zen,禅意的
TEAMNAME_ADJECTIVE_MONK2,流动的,,Fluidos,ruisselants|ruisselantes,Fließenden,Fluidi|Fluide,Fluidos,流动的
TEAMNAME_ADJECTIVE_MONK3,冥想的,,Meditabundos,méditatifs|méditatives,Meditierenden,Meditativi|Meditative,Meditantes,冥想的
TEAMNAME_ADJECTIVE_MONK4,平静的,,Calmados,calmes,Ruhigen,Sereni|Serene,Calmos,平静的
TEAMNAME_ADJECTIVE_MONK5,飞行,,Voladores,volants|volantes,Fliegenden,Volanti,Voadores,飞行
TEAMNAME_ADJECTIVE_MONK6,开悟,,Iluminados,éveillés|éveillées,Erleuchteten,Illuminati|Illuminate,Iluminados,开悟
TEAMNAME_ADJECTIVE_MONK7,幸福的,,Dichosos,béats|béates,Seligen,Beati|Beate,Afortunados,幸福的
TEAMNAME_ADJECTIVE_MONK8,内在的,,Ensimismados,intérieurs|intérieures,Inneren,Intimi|Intime,Interiores,内在的
TEAMNAME_ADJECTIVE_MONK9,专注的,,Centrados,centrés|centrées,Zentrierten,Centrati|Centrate,Centrados,专注的
TEAMNAME_ADJECTIVE_MONK10,飞行,,Voladores,planants|planantes,Fliegenden,Alati|Alate,Voadores,飞行
TEAMNAME_ADJECTIVE_MONK11,因果的,,del Karma,karmiques,format2|Karma,del Karma,Cármicos,因果的
TEAMNAME_ADJECTIVE_MONK12,超越的,,Trascendentales,transcendés|transcendées,Überweltlichen,Trascendenti,Transcendentes,超越的
TEAMNAME_ADJECTIVE_DRUID0,兽性,,Bestiales,animaux|animales,Animalistischen,Animalisti|Animaliste,Animalísticos,兽性
TEAMNAME_ADJECTIVE_DRUID1,歌唱的,,Cantantes,chantants|chantantes,Singenden,Canterini|Canterine,Cantores,歌唱的
TEAMNAME_ADJECTIVE_DRUID2,自然的,,Naturales,naturels|naturelles,Natürlichen,Naturali,Naturais,自然的
TEAMNAME_ADJECTIVE_DRUID3,和平的,,Pacíficos,pacifiques,Friedlichen,Pacifici|Pacifiche,Pacíficos,和平的
TEAMNAME_ADJECTIVE_DRUID4,音乐的,,Musicales,musicaux|musicales,Musikalischen,Musicali,Musicais,音乐的
TEAMNAME_ADJECTIVE_DRUID5,古怪的,,Ardillistas,agités|agitées,Schreckhaften,Strambi|Strambe,Assustadores,古怪的
TEAMNAME_ADJECTIVE_DRUID6,召唤的,,Invocados,invoqués|invoquées,Beschworenen,Evocati|Evocate,Invocados,召唤的
TEAMNAME_ADJECTIVE_DRUID7,多叶的,,Frondosos,feuillus|feuillues,Blättrigen,Floridi|Floride,Folhosos,多叶的
TEAMNAME_ADJECTIVE_DRUID8,高的,,Colocados,défoncés|défoncées,Vollgedröhnten,Inebriati|Inebriate,Altos,高的
TEAMNAME_ADJECTIVE_DRUID9,跳舞的,,Danzantes,dansants|dansantes,Tanzenden,Ballerini|Ballerine,Dançantes,跳舞的
TEAMNAME_ADJECTIVE_DRUID10,吹口哨的,,Silbantes,sifflotants|sifflotantes,Pfeifenden,Fischiettanti,Assobiadores,吹口哨的
TEAMNAME_ADJECTIVE_DRUID11,无伴奏合唱,,Cantarines,a capella,A Capella,A Cappella,A Cappella,无伴奏合唱
TEAMNAME_ADJECTIVE_PSYCHIC0,三眼的,,Videntes,à trois yeux,Dreiäugigen,Triclopi,de Três Olhos,三眼的
TEAMNAME_ADJECTIVE_PSYCHIC1,星体的,,Astrales,astraux|astrales,Astralen,Astrali,Astrais,星体的
TEAMNAME_ADJECTIVE_PSYCHIC2,有远见的,,Visionarios,visionnaires,Visionären,Veggenti,Visionários,有远见的
TEAMNAME_ADJECTIVE_PSYCHIC3,神秘的,,Místicos,mystiques,Mystischen,Mistici|Mistiche,Místicos,神秘的
TEAMNAME_ADJECTIVE_PSYCHIC4,读心的,,Mentales,devins,Gedankenlesenden,Chiromanti,Leitores de Mentes,读心的
TEAMNAME_ADJECTIVE_PSYCHIC5,算命的,,Adivinos,voyants|voyantes,Wahrsagenden,Indovini|Indovine,Videntes,算命的
TEAMNAME_ADJECTIVE_PSYCHIC6,通灵者,,Mentalistas,médiums,Psychischen,Psionici|Psioniche,Psíquicos,通灵者
TEAMNAME_ADJECTIVE_PSYCHIC7,心灵感应的,,Telepáticos,télépathes,Telepathischen,Telepatici|Telepatiche,Telepatas,心灵感应的
TEAMNAME_ADJECTIVE_PSYCHIC8,魅力,,Encantadores,charmeurs|charmeuses,Charmanten,Ammaliatori|Ammaliatrici,Charmosos,魅力
TEAMNAME_ADJECTIVE_PSYCHIC9,操控的,,Manipuladores,manipulateurs|manipulatrices,Manipulierenden,Manipolatori|Manipolatrici,Manipulativos,操控的
TEAMNAME_ADJECTIVE_PSYCHIC10,无所不知的,,Omniscientes,omniscients|omniscientes,Allwissenden,Onniscienti,Sabe-Tudo,无所不知的
TEAMNAME_ADJECTIVE_PSYCHIC11,脉冲的,,Palpitantes,palpitants|palpitantes,Pulsierenden,Pulsanti,Pulsantes,脉冲的
TEAMNAME_ADJECTIVE_PSYCHIC12,紧张僵直的,,Catatónicos,catatoniques,Katatonischen,Catatonici|Catatoniche,Catatônicos,紧张僵直的
TEAMNAME_ADJECTIVE_BUTCHER0,饥饿,,Hambrientos,affamés|affamées,Hungrigen,Affamati|Affamate,Famintos,饥饿
TEAMNAME_ADJECTIVE_BUTCHER1,出汗,,Sudorosos,en sueur,Schwitzenden,Sudaticci|Sudaticcie,Suados,出汗
TEAMNAME_ADJECTIVE_BUTCHER2,多肉,,Cárnicos,charnus|charnues,Fleischigen,Carnosi|Carnose,Carnudos,多肉
TEAMNAME_ADJECTIVE_BUTCHER3,切片,,Rebanados,en tranches,Geschnittenen,Affettati|Affettate,Fatiados,切片
TEAMNAME_ADJECTIVE_BUTCHER4,上瘾者,,Ensartados,accrochés|accrochées,Hakenden,Appesi|Appese,Enganchados,上瘾者
TEAMNAME_ADJECTIVE_BUTCHER5,流血,,Sangrientos,ensanglantés|ensanglantées,Blutenden,Sanguinanti,Sangrentos,流血
TEAMNAME_ADJECTIVE_BUTCHER6,永不满足,,Famélicos,insatiables,Nimmersatten,Insaziabili,Nunca Satisfeitos,永不满足
TEAMNAME_ADJECTIVE_BUTCHER7,布奇,,Carniceros,barbares,Maskulin gelesenen,Macellati|Macellate,Machões,布奇
TEAMNAME_ADJECTIVE_BUTCHER8,被锁链锁住,,Encadenados,enchaînés|enchaînées,Angeketteten,Incatenati|Incatenate,Acorrentados,被锁链锁住
TEAMNAME_ADJECTIVE_BUTCHER9,嗜血,,Sedientos de Sangre,sanguinaires,Blutdurstigen,Assetati di Sangue|Assetate di Sangue,Sedentos de Sangue,嗜血
TEAMNAME_ADJECTIVE_BUTCHER10,砍杀,,Trinchadores,tranchants|tranchantes,Hackenden,Squartatori|Squartatrici,Estraçalhantes,砍杀
TEAMNAME_ADJECTIVE_NECROMANCER0,不死族,,de Ultratumba,morts-vivants|mortes-vivantes,Untoten,Non morti|Non morte,Mortos-Vivos,不死族
TEAMNAME_ADJECTIVE_NECROMANCER1,腐烂中,,en Descomposición,pourrissants|pourrissantes,Verwesenden,Decomposti|Decomposte,Apodrecidos,腐烂中
TEAMNAME_ADJECTIVE_NECROMANCER2,黑暗,,Oscuros,sombres,Dunklen,Tenebrosi|Tenebrose,Sombreados,黑暗
TEAMNAME_ADJECTIVE_NECROMANCER3,腐败,,Putrefactos,putréfiés|putréfiées,Verrottenden,Marcescenti,Apodrecidos,腐败
TEAMNAME_ADJECTIVE_NECROMANCER4,哥特式,,Góticos,gothiques,format2|Gothic,Gotici|Gotiche,Góticos,哥特式
TEAMNAME_ADJECTIVE_NECROMANCER5,情绪化,,Emo,emos,format2|Emo,Emo,Emo,情绪化
TEAMNAME_ADJECTIVE_NECROMANCER6,黑色,,Negros,noirs|noires,Schwarzen,Neri|Nere,Negros,黑色
TEAMNAME_ADJECTIVE_NECROMANCER7,邪恶,,Malvados,diaboliques,Bösen,Malvagi|Malvagie,Malignos,邪恶
TEAMNAME_ADJECTIVE_NECROMANCER8,被诅咒的,,Condenados,damnés|damnées,Verdammten,Dannati|Dannate,Perdidos,被诅咒的
TEAMNAME_ADJECTIVE_NECROMANCER9,疲惫,,Drenados,exsangues,Ausgesaugten,Prosciugati|Prosciugate,Drenados,疲惫
TEAMNAME_ADJECTIVE_NECROMANCER10,午夜,,de Medianoche,de minuit,Nächtlichen,Crepuscolari,da Meia-Noite,午夜
TEAMNAME_ADJECTIVE_NECROMANCER11,死亡,,Muertos,morts|mortes,Toten,Morti|Morte,Mortos,死亡
TEAMNAME_ADJECTIVE_NECROMANCER12,恐怖,,Aterradores,flippants|flippantes,Gruseligen,Spettrali,Assustadores,恐怖
TEAMNAME_ADJECTIVE_TINKERER0,狡猾,,Hábiles,ingénieux|ingénieuses,Gewieften,Astuti|Astute,Engenhosos,狡猾
TEAMNAME_ADJECTIVE_TINKERER1,好斗,,Apañados,ferrailleurs|ferrailleuses,Rabiaten,Battaglieri|Battagliere,Brigões,好斗
TEAMNAME_ADJECTIVE_TINKERER2,有创造力,,Inventivos,inventifs|inventives,Erfinderischen,Ingegnosi|Ingegnose,Inventores,有创造力
TEAMNAME_ADJECTIVE_TINKERER3,疯狂,,Locos,énervés|énervées,Verrückten,Folli,Loucos,疯狂
TEAMNAME_ADJECTIVE_TINKERER4,油炸,,Electrocutados,frits|frites,Durchgedrehten,Fritti|Fritte,Fritos,油炸
TEAMNAME_ADJECTIVE_TINKERER5,电气的,,Eléctricos,électriques,Elektrischen,Elettrici|Elettriche,Elétricos,电气的
TEAMNAME_ADJECTIVE_TINKERER6,有创意,,Creativos,créatifs|créatives,Kreativen,Creativi|Creative,Criativos,有创意
TEAMNAME_ADJECTIVE_TINKERER7,科学的,,Científicos,scientifiques,Wissenschaftlichen,Scientifici|Scientifiche,Científicos,科学的
TEAMNAME_ADJECTIVE_TINKERER8,机器人,,Robóticos,robotiques,Mechanischen,Robotici|Robotiche,Robóticos,机器人
TEAMNAME_ADJECTIVE_TINKERER9,金属,,Metálicos,métalliques,Metallischen,Metallici|Metalliche,de Metal,金属
TEAMNAME_ADJECTIVE_TINKERER10,爆炸的,,Explosivos,explosifs|explosives,Explodierenden,Esplosivi|Esplosive,Explosivos,爆炸的
TEAMNAME_ADJECTIVE_TINKERER11,装甲的,,con Armadura,blindés|blindées,Gerüsteten,Corazzati|Corazzate,Blindados,装甲的
TEAMNAME_ADJECTIVE_TINKERER12,武装的,,Armados,armés|armées,Bewaffneten,Armati|Armate,Armados,武装的
TEAMNAME_ADJECTIVE_TINKERER13,遥控的,,Remotos,télécommandés|télécommandées,Ferngesteuerten,Telecomandati|Telecomandate,de Controle Remoto,遥控的
TEAMNAME_ADJECTIVE_COLORLESS0,普通,,Normales,normal|normales,Normalen,Normali,Normais,普通
TEAMNAME_ADJECTIVE_COLORLESS1,基础的,,Básicos,basiques,Regulären,Basilari,Básicos,基础的
TEAMNAME_ADJECTIVE_COLORLESS2,标准,,Estándares,ordinaires,format2|Standard,Standard,Padrão,标准
TEAMNAME_ADJECTIVE_JESTER0,疯狂,,Alocados,fous|folles,Verrückten,Pazzi|Pazze,Malucos,疯狂
TEAMNAME_ADJECTIVE_JESTER1,古怪,,Chiflados,farfelus|farfelues,Schrulligen,Squinternati|Squinternate,Pirados,古怪
TEAMNAME_ADJECTIVE_JESTER2,幸运,,Afortunados,chanceux|chanceuses,Glücklichen,Fortunati|Fortunate,Sortudos,幸运
TEAMNAME_ADJECTIVE_JESTER3,傻乎乎,,Bobalicones,loufoques,Exzentrischen,Goffi|Goffe,Bobões,傻乎乎
TEAMNAME_ADJECTIVE_JESTER4,咯咯笑,,Nerviosos,gloussants|gloussantes,Giggelnden,Ridacchianti,Gargalhantes,咯咯笑
TEAMNAME_ADJECTIVE_JESTER5,大笑,,Risueños,hilares,Lachenden,Sghignazzanti,Risonhos,大笑
TEAMNAME_ADJECTIVE_JESTER6,有趣,,Graciosos,drôles,Lustigen,Divertenti,Engraçados,有趣
TEAMNAME_ADJECTIVE_JESTER7,讽刺,,Sarcásticos,sarcastiques,Sarkastischen,Sarcastici|Sarcastiche,Sarcásticos,讽刺
TEAMNAME_ADJECTIVE_JESTER8,狂笑,,Desternillados,rigolos|rigolotes,Gackernden,Sguaiati|Sguaiate,Gargalhantes,狂笑
TEAMNAME_ADJECTIVE_JESTER9,嘲笑,,Burlones,moqueurs|moqueuses,Spöttischen,Beffardi|Beffarde,Zombeteiros,嘲笑
TEAMNAME_ADJECTIVE_JESTER10,彩虹,,Arcoíris,arcs-en-ciel,format2|Regenbogen,Arcobaleno,Arco-Íris,彩虹
TEAMNAME_ADJECTIVE_JESTER11,轻笑,,Divertidos,amusés|amusées,Glucksenden,Sorridenti,Risonhos,轻笑
TEAMNAME_ADJECTIVE_JESTER12,窃笑,,Socarrones,narquois|narquoises,Kichernden,Lieti|Liete,Joviais,窃笑
TEAMNAME_ADJECTIVE_JESTER13,微笑,,Sonrientes,souriants|souriantes,Lächelnden,Ilari,Sorridentes,微笑
TEAMNAME_ADJECTIVE_JESTER14,同性恋,,Alegres,gais|gaies,Fröhlichen,Gioiosi|Gioiose,Alegres,同性恋
TEAMNAME_ADJECTIVE_MISC0,完美无缺,,Ronroneantes,parrrfaits|parrrfaites,Schnurrenden,Miaosi|Miaosette,Purrrfeitos,完美无缺
TEAMNAME_ADJECTIVE_MISC1,毛茸茸,,Suaves,duveteux|duveteuses,Fluffigen,Pelosetti|Pelosette,Fofinhos,毛茸茸
TEAMNAME_ADJECTIVE_MISC2,format2|{Catname's},,format2|{Catname} y sus,format2|{Catname} et les,Namhaften,di {Catname},format2|de {Catname},format2|{Catname's}
TEAMNAME_ADJECTIVE_MISC2_M,,,,,,,,
TEAMNAME_ADJECTIVE_MISC2_F,,,,,,,,
TEAMNAME_ADJECTIVE_MISC2_N,,,,,,,,
TEAMNAME_ADJECTIVE_MISC3,format2|{Catname} 和,,format2|{Catname} y los,format2|{Catname} et les,Abgefahrenen,format2|{Catname} e,format2|{Catname} e os,format2|{Catname} 和
TEAMNAME_ADJECTIVE_MISC3_M,,,,,,,,
TEAMNAME_ADJECTIVE_MISC3_F,,,,,,,,
TEAMNAME_ADJECTIVE_MISC3_N,,,,,,,,
TEAMNAME_NOUN_FIGHTER0,鲁克斯,,Zopencos,Balourds|male,Blödiane,I Gorilloni,Brutos,鲁克斯
TEAMNAME_NOUN_FIGHTER1,兄弟们,,Machotes,Frères|male,Bros,I Fratelli,Irmãos,兄弟们
TEAMNAME_NOUN_FIGHTER2,拳头,,Puños,Poings|male,Fäuste,I Pugni,Punhos,拳头
TEAMNAME_NOUN_FIGHTER3,壮汉,,Matones,Castagneurs|male,Schlägertypen,I Picchiatori,Agressores,壮汉
TEAMNAME_NOUN_FIGHTER4,拳头,,Puños,Poings|male,Fäuste,I Cazzotti,Punhos,拳头
TEAMNAME_NOUN_FIGHTER5,笨蛋,,Memos,Sans-cervelles|male,Tölpel,Gli Imbranati,Tolos,笨蛋
TEAMNAME_NOUN_FIGHTER6,英雄,,Héroes,Héros|male,Helden,Gli Eroi,Heróis,英雄
